SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
AMRUTANJAN,1736.0,Pharmaceuticals & Biotechnology,Healthcare,Healthcare,0.0
HARIOMPIPE,1731.0,Industrial Products,Capital Goods,Industrials,0.0
BCLIND,1718.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
MANINDS,1717.0,Industrial Products,Capital Goods,Industrials,0.0
PREMEXPLN,1709.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
WHEELS,1699.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
NDTV,1691.0,Entertainment,Media Entertainment & Publication,Consumer Discretionary,0.0
NSIL,1683.0,Finance,Financial Services,Financial Services,0.0
SPCENET,1682.0,Commercial Services & Supplies,Services,Services,0.0
DHAMPURSUG,1682.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
PENIND,1679.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
DREDGECORP,1677.0,Engineering Services,Services,Services,0.0
DCW,1672.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
SURYODAY,1666.0,Banks,Financial Services,Financial Services,0.0
GTLINFRA,1665.0,Telecom - Services,Telecommunication,Telecommunication,0.0
HIMATSEIDE,1663.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
UNIVCABLES,1657.0,Industrial Products,Capital Goods,Industrials,0.0
DEEPINDS,1645.0,Oil,Oil Gas & Consumable Fuels,Energy,0.0
SICALLOG,1645.0,Transport Services,Services,Services,0.0
DWARKESH,1640.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
SERVOTECH,1635.0,Electrical Equipment,Capital Goods,Industrials,0.0
SHANKARA,1634.0,Retailing,Consumer Services,Consumer Discretionary,0.0
IGARASHI,1627.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
PUNJABCHEM,1625.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
FAIRCHEMOR,1624.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
ACLGATI,1613.0,Transport Services,Services,Services,0.0
COSMOFIRST,1602.0,Industrial Products,Capital Goods,Industrials,0.0
BHAGCHEM,1602.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
AHL,1600.0,Finance,Financial Services,Financial Services,0.0
CONTROLPR,1599.0,IT - Hardware,Information Technology,Information Technology,0.0
GVKPIL,1595.0,Construction,Construction,Industrials,0.0
HPL,1595.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
